iter	Passed	Remaining
330	150032	303238
331	150575	302964
332	151016	302487
333	151685	302462
334	152312	302351
335	152864	302089
336	153268	301533
337	153662	300960
338	154106	300484
339	154821	300536
340	155600	300705
341	156455	301017
342	157166	301044
343	157580	300503
344	157959	299894
345	158381	299368
346	158816	298867
347	159203	298277
348	159613	297730
349	159975	297097
350	160395	296572
351	160795	296010
352	161218	295491
353	161626	294945
354	162004	294345
355	162415	293807
356	162821	293260
357	163250	292757
358	163625	292156
359	163984	291528
360	164377	290962
361	164786	290424
362	165212	289918
363	165622	289385
364	166017	288825
365	166458	288346
366	166876	287828
367	167331	287372
368	167752	286862
369	168175	286352
370	168607	285860
371	169069	285418
372	169581	285059
373	170549	285464
374	171401	285669
375	172241	285847
376	172656	285317
377	173048	284751
378	173522	284319
379	173938	283793
380	174424	283382
381	174875	282912
382	175345	282476
383	175783	281985
384	176232	281514
385	176620	280945
386	177126	280565
387	177554	280060
388	177983	279557
389	178400	279036
390	178788	278470
391	179209	277957
392	179625	277436
393	180053	276934
394	180519	276491
395	180992	276059
396	181436	275581
397	181911	275152
398	182342	274656
399	182728	274092
400	183127	273549
401	183601	273118
402	184079	272693
403	184544	272249
404	184971	271748
405	185683	271665
406	186609	271889
407	187604	272211
408	188137	271855
409	188567	271353
410	189002	270857
411	189446	270374
412	189814	269784
413	190197	269217
414	190641	268736
415	191078	268244
416	191489	267718
417	191953	267265
418	192414	266808
419	192798	266245
420	193206	265715
421	193586	265149
422	194019	264655
423	194429	264130
424	194866	263642
425	195272	263114
426	195668	262571
427	196081	262052
428	196462	261492
429	196916	261029
430	197668	260958
431	198435	260905
432	199368	261066
433	199974	260796
434	200428	260326
435	200896	259874
436	201337	259389
437	201813	258947
438	202273	258485
439	202741	258034
440	203207	257580
441	203655	257103
442	204056	256567
443	204453	256027
444	204869	255511
445	205352	255079
446	205761	254555
447	206190	254056
448	206629	253569
449	207157	253192
450	208126	253351
451	208920	253293
452	209809	253345
453	210190	252784
454	210595	252252
455	210979	251695
456	211379	251157
457	211795	250639
458	212245	250163
459	212677	249665
460	213171	249239
461	213641	248785
462	214016	248222
463	214407	247677
464	214777	247109
465	215224	246630
466	215636	246111
467	216051	245596
468	216488	245107
469	216863	244548
470	217246	243998
471	217712	243542
472	218182	243091
473	218620	242604
474	219042	242099
475	219440	241568
476	219849	241051
477	220250	240525
478	220664	240012
479	221253	239691
480	222222	239778
481	223307	239986
482	223974	239740
483	224366	239201
484	224784	238688
485	225253	238230
486	225695	237744
487	226124	237245
488	226534	236726
489	226998	236263
490	227373	235708
491	227787	235195
492	228180	234660
493	228624	234178
494	229027	233654
495	229404	233104
496	229792	232566
497	230241	232091
498	230681	231605
499	231112	231112
500	231615	230690
501	232060	230211
502	232483	229710
503	232934	229236
504	233354	228733
505	233763	228219
506	234197	227730
507	234659	227268
508	235196	226879
509	235715	226471
510	236201	226031
511	236642	225550
512	237634	225590
513	238819	225810
514	239698	225735
515	240231	225333
516	240681	224852
517	241120	224363
518	241555	223869
519	242034	223416
520	242469	222923
521	242876	222403
522	243316	221915
523	243782	221451
524	244220	220961
525	244658	220471
526	245090	219976
527	245497	219459
528	245932	218968
529	246413	218517
530	247310	218434
531	248235	218372
532	249151	218299
533	249614	217828
534	250099	217376
535	250581	216921
536	251069	216471
537	251515	215985
538	251978	215514
539	252409	215015
540	252871	214543
541	253320	214060
542	253769	213577
543	254153	213040
544	254719	212655
545	255134	212144
546	255565	211647
547	256005	211158
548	256387	210621
549	256790	210101
550	257222	209605
551	257642	209101
552	258030	208570
553	258422	208044
554	258841	207539
555	259292	207060
556	259782	206613
557	260578	206408
558	261473	206278
559	262295	206089
560	262736	205599
561	263103	205051
562	263503	204531
563	263917	204021
564	264332	203512
565	264869	203097
566	265330	202624
567	265839	202187
568	266297	201712
569	266798	201269
570	267274	200807
571	267714	200317
572	268150	199825
573	268594	199340
574	269030	198848
575	269427	198328
576	269838	197819
577	270272	197327
578	270688	196822
579	271103	196315
580	271526	195816
581	272294	195565
582	273117	195351
583	274027	195197
584	274645	194834
585	275005	194287
586	275496	193832
587	275878	193302
588	276329	192820
589	276721	192298
590	277099	191765
591	277514	191260
592	277908	190739
593	278317	190230
594	278693	189699
595	279152	189224
596	279573	188724
597	280030	188248
598	280471	187761
599	280852	187235
600	281221	186700
601	281624	186190
602	282044	185690
603	282461	185189
604	282916	184713
605	283384	184246
606	284145	183968
607	284938	183710
608	285688	183422
609	286316	183055
610	286753	182564
611	287163	182057
612	287580	181555
613	287995	181052
614	288429	180561
615	288923	180108
616	289409	179649
617	289818	179143
618	290220	178633
619	290643	178136
620	291016	177608
621	291476	177135
622	291891	176634
623	292325	176145
624	292707	175624
625	293073	175095
626	293483	174592
627	293888	174086
628	294267	173566
629	294631	173037
630	295242	172653
631	296098	172411
632	296935	172156
633	297752	171888
634	298177	171393
635	298608	170901
636	299050	170416
637	299508	169940
638	299997	169482
639	300549	169059
640	300984	168569
641	301519	168137
642	301932	167635
643	302348	167136
644	302699	166602
645	303135	166114
646	303562	165622
647	304206	165248
648	305052	164982
649	305846	164686
650	306622	164379
651	307030	163875
652	307454	163379
653	307877	162882
654	308267	162369
655	308678	161868
656	309091	161367
657	309493	160861
658	309887	160351
659	310294	159848
660	310689	159340
661	311061	158820
662	311433	158300
663	311854	157806
664	312249	157298
665	312625	156782
666	313007	156268
667	313406	155764
668	313805	155261
669	314258	154784
670	314620	154262
671	315010	153755
672	315421	153258
673	315847	152768
674	316248	152267
675	316746	151813
676	317560	151509
677	318326	151181
678	319147	150878
679	319594	150397
680	320046	149919
681	320490	149437
682	320926	148951
683	321333	148452
684	321711	147940
685	322081	147425
686	322509	146936
687	322863	146414
688	323254	145910
689	323654	145410
690	324105	144932
691	324524	144441
692	324964	143959
693	325548	143541
694	326447	143261
695	327283	142951
696	328058	142613
697	328506	142132
698	328898	141628
699	329342	141146
700	329788	140665
701	330198	140169
702	330647	139690
703	331045	139189
704	331533	138726
705	331998	138254
706	332439	137771
707	332841	137273
708	333598	136921
709	334384	136579
710	335175	136238
711	335732	135801
712	336129	135300
713	336525	134798
714	336927	134299
715	337347	133808
716	337731	133302
717	338114	132797
718	338531	132305
719	338937	131809
720	339372	131324
721	339749	130817
722	340116	130307
723	340537	129818
724	340922	129315
725	341316	128816
726	341700	128313
727	342133	127830
728	342572	127348
729	342984	126857
730	343330	126341
731	343733	125847
732	344114	125345
733	344465	124833
734	344836	124328
735	345225	123830
736	345681	123357
737	346288	122937
738	347136	122601
739	347868	122224
740	348519	121817
741	348888	121311
742	349300	120821
743	349700	120327
744	350147	119849
745	350564	119361
746	350922	118853
747	351294	118350
748	351676	117851
749	352071	117357
750	352517	116879
751	352942	116395
752	353356	115908
753	353760	115417
754	354103	114907
755	354466	114404
756	354863	113912
757	355297	113432
758	355739	112955
759	356178	112477
760	356615	111998
761	356988	111500
762	357377	111007
763	357763	110513
764	358159	110022
765	358802	109608
766	359600	109239
767	360472	108892
768	361024	108448
769	361446	107964
770	361845	107474
771	362209	106973
772	362603	106482
773	362994	105990
774	363399	105503
775	363786	105010
776	364199	104525
777	364574	104030
778	364980	103543
779	365447	103075
780	365856	102589
781	366262	102103
782	366674	101619
783	367080	101134
784	367487	100649
785	368126	100227
786	369005	99870
787	369899	99516
788	370464	99072
789	370861	98583
790	371229	98087
791	371629	97599
792	372054	97118
793	372449	96630
794	372871	96149
795	373265	95660
796	373656	95172
797	374054	94685
798	374492	94209
799	374889	93722
800	375301	93239
801	375717	92758
802	376088	92265
803	376492	91781
804	376861	91289
805	377282	90809
806	377692	90328
807	378053	89834
808	378438	89346
809	379119	88929
810	379904	88535
811	380651	88131
812	381338	87712
813	381765	87233
814	382150	86745
815	382512	86252
816	382878	85761
817	383312	85284
818	383736	84806
819	384162	84328
820	384555	83843
821	384959	83360
822	385396	82886
823	385814	82406
824	386201	81921
825	386627	81444
826	386995	80955
827	387401	80474
828	388195	80074
829	389043	79683
830	389820	79277
831	390328	78816
832	390750	78337
833	391174	77859
834	391566	77375
835	391972	76894
836	392377	76412
837	392765	75928
838	393110	75436
839	393505	74953
840	393885	74468
841	394249	73980
842	394628	73495
843	395029	73014
844	395423	72533
845	395819	72052
846	396218	71571
847	396615	71091
848	397013	70611
849	397428	70134
850	397860	69660
851	398307	69189
852	398820	68729
853	399618	68318
854	400420	67907
855	401199	67491
856	401638	67017
857	402042	66538
858	402429	66056
859	402811	65573
860	403172	65088
861	403670	64624
862	404037	64140
863	404445	63662
864	404851	63184
865	405259	62707
866	405691	62234
867	406118	61759
868	406501	61279
869	406883	60798
870	407326	60327
871	407719	59848
872	408137	59373
873	408511	58892
874	408887	58412
875	409274	57933
876	409644	57452
877	410069	56980
878	410478	56505
879	410885	56029
880	411583	55594
881	412440	55179
882	413213	54751
883	413816	54301
884	414250	53829
885	414674	53355
886	415083	52879
887	415483	52403
888	415898	51928
889	416284	51450
890	416684	50974
891	417066	50496
892	417477	50022
893	417883	49547
894	418287	49072
895	418646	48592
896	419037	48116
897	419442	47642
898	419794	47162
899	420141	46682
900	420547	46208
901	420918	45731
902	421356	45262
903	421881	44801
904	422701	44372
905	423471	43936
906	424203	43496
907	424570	43018
908	424972	42544
909	425349	42067
910	425696	41588
911	426138	41118
912	426542	40645
913	426923	40170
914	427283	39692
915	427644	39216
916	428061	38744
917	428401	38266
918	428814	37795
919	429234	37324
920	429658	36854
921	430057	36382
922	430453	35910
923	430859	35438
924	431403	34978
925	432249	34542
926	433135	34108
927	433854	33661
928	434338	33194
929	434759	32723
930	435193	32253
931	435603	31782
932	435993	31309
933	436407	30838
934	436782	30364
935	437187	29893
936	437558	29419
937	437941	28947
938	438309	28473
939	438694	28001
940	439144	27534
941	439547	27063
942	439925	26591
943	440336	26121
944	440690	25648
945	441113	25179
946	441515	24709
947	441940	24241
948	442635	23787
949	443410	23337
950	444255	22890
951	444768	22425
952	445174	21955
953	445551	21483
954	445967	21014
955	446370	20544
956	446796	20075
957	447228	19607
958	447625	19137
959	448034	18668
960	448434	18198
961	448837	17729
962	449243	17260
963	449681	16793
964	450090	16324
965	450471	15855
966	450891	15387
967	451310	14919
968	452122	14464
969	452897	14007
970	453663	13549
971	454164	13082
972	454545	12613
973	454934	12144
974	455318	11674
975	455678	11205
976	456074	10736
977	456473	10268
978	456902	9800
979	457268	9332
980	457639	8863
981	458010	8395
982	458417	7927
983	458810	7460
984	459261	6993
985	459658	6526
986	460071	6059
987	460686	5595
988	461486	5132
989	462237	4669
990	462913	4204
991	463324	3736
992	463722	3268
993	464102	2801
994	464543	2334
995	464968	1867
996	465351	1400
997	465759	933
998	466192	466
999	466584	0
