iter	RMSE
0	0.9002605044
1	0.818139247
2	0.750531333
3	0.694807272
4	0.6482110901
5	0.6108276448
6	0.580199815
7	0.5555432876
8	0.5349908776
9	0.5178236913
10	0.5029300753
11	0.4912667356
12	0.4821886394
13	0.4734255964
14	0.4672850768
15	0.4621631403
16	0.4569623735
17	0.4513996633
18	0.4478357367
19	0.4440239099
20	0.4411601193
21	0.4378541942
22	0.4354795031
23	0.4337050216
24	0.4307508311
25	0.4290929131
26	0.4269693118
27	0.4257311338
28	0.4247027731
29	0.4234734064
30	0.4225844068
31	0.4216491445
32	0.4205221727
33	0.419112163
34	0.4177292495
35	0.4166059147
36	0.4156095505
37	0.41500802
38	0.4139116783
39	0.4133508192
40	0.4121787632
41	0.4113927195
42	0.4104539904
43	0.4097741085
44	0.409365486
45	0.4087082221
46	0.4079442568
47	0.4076012442
48	0.4071859864
49	0.4066122323
50	0.4058220552
51	0.4054493258
52	0.4050030186
53	0.4046509445
54	0.4043481815
55	0.4039646946
56	0.4033962194
57	0.4030536454
58	0.4024159963
59	0.402075978
60	0.4016271354
61	0.4013182435
62	0.4010523482
63	0.4008722362
64	0.4004232569
65	0.3998940247
66	0.3994372152
67	0.3990869223
68	0.3988537267
69	0.3986264908
70	0.3980860954
71	0.3978589655
72	0.397549991
73	0.3971182776
74	0.3965876664
75	0.3963294635
76	0.3961509934
77	0.3958503318
78	0.3955679349
79	0.3953282222
80	0.3951160516
81	0.3946775501
82	0.394516841
83	0.3941429534
84	0.3938430459
85	0.3936884878
86	0.3935351419
87	0.3933452989
88	0.3931698059
89	0.3928456363
90	0.3926258081
91	0.3924656608
92	0.3921581331
93	0.3919357648
94	0.3917628258
95	0.3914027957
96	0.3910596272
97	0.390929356
98	0.3907968912
99	0.3905927714
100	0.3902624911
101	0.389903169
102	0.3896108918
103	0.3894045514
104	0.3892992912
105	0.3891954636
106	0.3890848772
107	0.388993396
108	0.3888518305
109	0.3886181607
110	0.3880994783
111	0.3880173141
112	0.3878699015
113	0.3876332093
114	0.3874415938
115	0.3872393378
116	0.3871311103
117	0.3869728302
118	0.3868427336
119	0.3867269796
120	0.3866465671
121	0.3865336953
122	0.3863046551
123	0.3862080983
124	0.3861324997
125	0.3859915306
126	0.3859325853
127	0.3857426511
128	0.3856237966
129	0.3854454979
130	0.3853730977
131	0.385216353
132	0.3851462201
133	0.385042648
134	0.3847759059
135	0.3846346758
136	0.384455012
137	0.3843700897
138	0.3842996834
139	0.3841482319
140	0.3840557202
141	0.3837943087
142	0.3836411795
143	0.3835390916
144	0.3833532388
145	0.3831446538
146	0.3830798972
147	0.3829224289
148	0.3828755689
149	0.3826739362
150	0.3824859816
151	0.3823970682
152	0.3821099184
153	0.3819037108
154	0.3818157658
155	0.3816968336
156	0.3815213755
157	0.3814685203
